task_name,trial_name,episode_count,result,trial_dir,trajectory_path,openclaw_output_path,openclaw_session_path
specterops__bloodhound_0a092be6_fbf55c9e,specterops__bloodhound_0a092be6___nhvKrmJ,72,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\specterops__bloodhound_0a092be6___nhvKrmJ,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\specterops__bloodhound_0a092be6_fbf55c9e\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\specterops__bloodhound_0a092be6_fbf55c9e\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\specterops__bloodhound_0a092be6_fbf55c9e\raw\openclaw-session.jsonl
stacklok__toolhive_398eeec9_5e246db0,stacklok__toolhive_398eeec9_5e24__EgQqXTm,5,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stacklok__toolhive_398eeec9_5e24__EgQqXTm,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stacklok__toolhive_398eeec9_5e246db0\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stacklok__toolhive_398eeec9_5e246db0\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stacklok__toolhive_398eeec9_5e246db0\raw\openclaw-session.jsonl
stackrox__stackrox_13efb8e1_66777350,stackrox__stackrox_13efb8e1_6677__Jp7uJdc,71,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_13efb8e1_6677__Jp7uJdc,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_13efb8e1_66777350\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_13efb8e1_66777350\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_13efb8e1_66777350\raw\openclaw-session.jsonl
stackrox__stackrox_141b82d3_d510dffd,stackrox__stackrox_141b82d3_d510__T4nGMKi,193,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_141b82d3_d510__T4nGMKi,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_141b82d3_d510dffd\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_141b82d3_d510dffd\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\stackrox__stackrox_141b82d3_d510dffd\raw\openclaw-session.jsonl
tektoncd__operator_09bfe1a0_790d5201,tektoncd__operator_09bfe1a0_790d__y7Tkhi4,67,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_09bfe1a0_790d__y7Tkhi4,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_09bfe1a0_790d5201\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_09bfe1a0_790d5201\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_09bfe1a0_790d5201\raw\openclaw-session.jsonl
tektoncd__operator_4f93b095_9e20b9ca,tektoncd__operator_4f93b095_9e20__eh7o7R9,131,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_4f93b095_9e20__eh7o7R9,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_4f93b095_9e20b9ca\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_4f93b095_9e20b9ca\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_4f93b095_9e20b9ca\raw\openclaw-session.jsonl
tektoncd__operator_790d5201_cc10d0d8,tektoncd__operator_790d5201_cc10__Txy9jDm,71,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_790d5201_cc10__Txy9jDm,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_790d5201_cc10d0d8\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_790d5201_cc10d0d8\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tektoncd__operator_790d5201_cc10d0d8\raw\openclaw-session.jsonl
tencent__tgfx_48cd318f_4638abd6,tencent__tgfx_48cd318f_4638abd6__RK9HdRS,126,AgentTimeoutError,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__tgfx_48cd318f_4638abd6__RK9HdRS,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__tgfx_48cd318f_4638abd6\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__tgfx_48cd318f_4638abd6\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__tgfx_48cd318f_4638abd6\raw\98fc8a41-a2dd-4ab9-bdd3-86ccedc361ee.jsonl
tencent__weknora_463f40fa_380f5d94,tencent__weknora_463f40fa_380f5d__poq5SZu,205,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_463f40fa_380f5d__poq5SZu,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_463f40fa_380f5d94\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_463f40fa_380f5d94\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_463f40fa_380f5d94\raw\openclaw-session.jsonl
tencent__weknora_9d2228a8_b291381c,tencent__weknora_9d2228a8_b29138__M9snABS,18,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_9d2228a8_b29138__M9snABS,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_9d2228a8_b291381c\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_9d2228a8_b291381c\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tencent__weknora_9d2228a8_b291381c\raw\openclaw-session.jsonl
tikv__pd_161d5718_033398bf,tikv__pd_161d5718_033398bf__8tdg9pC,68,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_161d5718_033398bf__8tdg9pC,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_161d5718_033398bf\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_161d5718_033398bf\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_161d5718_033398bf\raw\openclaw-session.jsonl
tikv__pd_1bd15b06_99eb5b50,tikv__pd_1bd15b06_99eb5b50__YUViYBd,75,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_1bd15b06_99eb5b50__YUViYBd,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_1bd15b06_99eb5b50\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_1bd15b06_99eb5b50\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\tikv__pd_1bd15b06_99eb5b50\raw\openclaw-session.jsonl
